NOMBDEP,NOMBPROV,NOMBDIST,MES,TEMP_MAX,Clasificacion_Climatica,TIZON_PROMEDIO,TEMP_MIN,PRECIPITACION,UBIGEO,NEVADA,EROSION_PROMEDIO
AMAZONAS,BAGUA,ARAMANGO,ENERO,27.0760846742055,Lluvioso con humedad abundante todas las estaciones del a,0.0,16.459684644143955,129.89448521045392,10202,0.0,15.131107929498562
AMAZONAS,BAGUA,BAGUA,ENERO,30.87337251228374,Semiseco con humedad abundante todas las estaciones del a,15.945945945945946,19.670996813918364,55.416201952922975,10201,0.0,23.3186031758954
AMAZONAS,BAGUA,COPALLIN,ENERO,26.91634028919341,Semiseco con humedad abundante todas las estaciones del a,2.335443037974684,16.379788395658128,73.47979185680482,10203,0.0,12.791935750757808
AMAZONAS,BAGUA,EL PARCO,ENERO,30.32496497232612,Semiseco con humedad abundante todas las estaciones del a,0.0,19.98019305142494,59.51024409385185,10204,0.0,12.397214317222373
AMAZONAS,BAGUA,IMAZA,ENERO,27.75981034958644,Lluvioso con humedad abundante todas las estaciones del a,0.077614847061519,18.321998982799105,311.07201994635733,10205,0.0,4.367886035536317
AMAZONAS,BAGUA,LA PECA,ENERO,28.291174795862776,Semiseco con humedad abundante todas las estaciones del a,0.9009009009009008,17.770646871940368,67.82834020229399,10206,0.0,18.7250117513983
AMAZONAS,BONGARA,CHISQUILLA,ENERO,19.64777124428329,Lluvioso con humedad abundante todas las estaciones del a,80.59701492537313,9.645824204201167,222.06769715884693,10302,0.0,6.896861451573666
AMAZONAS,BONGARA,CHURUJA,ENERO,22.13016047888885,Semiseco con humedad abundante todas las estaciones del a,16.46825396825397,12.070052897313644,88.79955188550326,10303,0.0,23.35715089197252
AMAZONAS,BONGARA,COROSHA,ENERO,21.57789715532356,Lluvioso con humedad abundante todas las estaciones del a,87.70950443786981,11.340309339792102,174.6375529594153,10304,0.0,9.221548879298249
AMAZONAS,BONGARA,CUISPES,ENERO,22.38101361967193,Semiseco con humedad abundante todas las estaciones del a,81.18987341772151,12.343025049307006,91.94012353949296,10305,0.0,10.273501309043684
AMAZONAS,BONGARA,FLORIDA,ENERO,21.54735939910471,Lluvioso con humedad abundante todas las estaciones del a,84.07182320441989,11.417800603134356,107.4147592243019,10306,0.0,12.943434433214296
AMAZONAS,BONGARA,JAZAN,ENERO,23.678768346027724,Semiseco con humedad abundante todas las estaciones del a,53.6969696969697,13.452678738788878,65.97880818485451,10307,0.0,41.80351255923144
AMAZONAS,BONGARA,JUMBILLA,ENERO,20.479302273726574,Lluvioso con humedad abundante todas las estaciones del a,86.45325203252031,10.235157099631271,131.31643630470774,10301,0.0,18.16182375570544
AMAZONAS,BONGARA,RECTA,ENERO,21.3768924977791,Lluvioso con humedad abundante todas las estaciones del a,92.05434782608695,10.8949527092026,134.54825523198463,10308,0.0,12.741012979313576
AMAZONAS,BONGARA,SAN CARLOS,ENERO,20.417062541872625,Lluvioso con humedad abundante todas las estaciones del a,86.60239361702128,10.282484346760258,113.65405268736498,10309,0.0,16.53055193029024
